4r40_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_6_A_5_E_6_E_5_D_5_E_6_D_6_B_17_E_5_E_6_E_6_A_7_E_5_G_2_G_5_B_7_C	0-13	12-28	BjACBGBGGGGGBBbi	CDiBbeHHImFFEAEEDEDBEEEAEGGBCEFCF	0.558
6ug9_L		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B	_6_D_0_-_3_A_7_E_2_E_4_b_1_F_6_B_2_D_7_D_3_d_2_J_4_E_2_A_4_D_9_I_0_c_4_F_7_E	0-13	4-21	BjACBGBGGGGGBBbi	CCFDDAEEbFBDDdJEADIcFE	0.419
4zoy_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B_0_-_0_-_8_b	_8_F_0_b_7_B_6_E_6_E_4_F_8_G_5_E_8_E_4_E_4_F_6_E_5_E_4_D_3_c_9_D_12_E_5_E_0_b	0-14	3-21	BjACBGBGGGGGBBbi	BEFFbBEEFGEEEFEEDcDEEbDDEEDEEbEDDbDED	0.462
7owg_Y		_2_j_0_-_3_A_1_C_2_B_7_G_2_B_0_-_0_-_0_-_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B	_7_k_7_F_7_B_5_C_4_E_4_F_8_E_8_D_4_D_1_b_5_E_7_D_4_E_3_E_4_F_6_F_4_E_4_C	1-13	45-62	BjACBGBGGGGGBBbi	fcCBnAAkGfEnCfjcngnAkclhjifbhcemfikhglkmgjlhdkFBCEFEDDbEDEEFFECDEDDBBCEECDE	0.459
6dwi_A		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_C_5_F_7_E_6_D_3_A_7_E_2_E_4_b_2_E_6_A_3_D_7_D_3_c_3_J_4_E_2_A_4_D_9_I_0_c	0-14	0-19	BjACBGBGGGGGBBbi	CCFEDAEEbEADDcJEADIcFF	0.368
7te1_H		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_A_0_-_3_A_6_E_5_b_1_F_6_E_16_A_2_A_4_E_8_D_16_C_7_D_4_J_4_C_8_C	0-13	0-14	BjACBGBGGGGGBBbi	AAEbFEAAEDCDJCCIEE	0.501
8a3t_B		_0_B_2_j_0_-_3_A_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B	_18_A_11_j_5_g_14_C_19_E_2_E_4_F_4_F_4_E_5_C_5_C_7_E_3_E_4_D_6_D_6_E_5_E_4_D_5_D_9_B	0-13	5-24	BjACBGBGGGGGBBbi	AgndfAjgCEEFFECCEEDDEEDDBCEFEEDAEEEd	0.419
8i23_C		_0_B_0_-_0_-_2_j_3_A_0_-_1_C_0_-_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B_8_b_6_i	_13_C_1_p_10_b_4_j_4_B_5_f_2_B_20_b_11_b_3_C_0_-_4_A_5_G_6_I_8_A_10_A_4_A_1_A_5_A_6_B_10_b_8_i	0-15	30-50	BjACBGBGGGGGBBbi	CChgGeJJBDDGGDDAffhjgicAhCAhllCpbjBfBbbCAGIAAAAABbiAfAEDDAABAAGbDcIAcAABCgBAIbJBEbBclAiAJbehkj	0.441
6xtg_L		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_D_4_F_7_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_c_3_J_4_E_2_A_4_D_9_I_0_d	0-14	0-19	BjACBGBGGGGGBBbi	CDFEDAEEbFAEDcJEADIdFE	0.370
3jcm_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_8_E_0_-_8_C_5_D_5_D_5_D_8_C_5_D_4_E_4_F_5_E_5_E_3_E_8_D_7_C_2_b	0-14	14-28	BjACBGBGGGGGBBbi	hhjkctmEEDAEEDECDDDCDEFEEEDCbDDCEDC	0.589
7o9q_B		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B	_2_B_0_-_2_C_2_F_1_C_2_C_5_E_5_E_4_C_2_E_7_E_3_C_2_E_9_C_3_C_2_E_14_B_5_C	0-13	2-18	BjACBGBGGGGGBBbi	CCBCFCCEECEECECCEBCDCBCDCDCDDDDbHH	0.492
4nx9_A		_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b	_2_f_5_p_1_A_0_-_2_A_6_E_7_E_7_G_13_F_4_E_6_k_4_E_2_E_10_F_16_E_0_b	1-14	1-15	BjACBGBGGGGGBBbi	sfpAAEEGFEkEEFEbw	0.555
4k94_H		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_0_D_0_-_3_A_5_G_3_b_1_F_5_G_4_C_7_E_4_E_4_b_1_H_2_D_3_D_8_D_3_G_4_C_0_b	0-14	0-16	BjACBGBGGGGGBBbi	DAGbFGCEEbHDDDGCbAAEEE	0.508
7js4_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B	_4_A_0_b_4_C_16_C_2_C_3_D_2_E_7_H_0_b_7_F_2_D_10_D_6_F_9_I_6_B_3_C_11_B	0-13	49-65	BjACBGBGGGGGBBbi	AfFFECEEbDABmCDjmbDCChjkccbhjlffbbGGbGECGCAAAcDIIAbCCCDEHbFDDFIBCBDIJBbBADCDEGeGDAEFI	0.523
3fxi_B		_0_B_2_j_3_A_0_-_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_0_-_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_0_-_17_B_0_-_8_b_0_-_6_i	_6_B_0_-_7_A_1_c_2_b_6_B_7_A_8_G_5_i_4_G_16_d_1_I_11_b_4_F_15_D_16_D_17_B_6_F_10_B_5_H_6_B_4_B_15_B_30_b_29_b_20_c_42_j	0-15	10-35	BjACBGBGGGGGBBbi	CBBBABABBcBAcbBAGiGdIbFDDBFBHBBBbbcjb	0.389
8fe4_P		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_0_-_0_-_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_A_5_C_11_C_5_E_3_A_7_E_2_E_4_b_1_F_6_A_3_D_7_D_5_b_2_J_4_E_2_B_3_D_9_I_0_c	2-14	0-18	BjACBGBGGGGGBBbi	ACCEAEEbFADDbJEBDIcFE	0.433
4lmq_E		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_0_-_0_-_8_b	_0_D_0_-_3_A_5_G_8_F_3_G_5_B_7_A_2_A_4_E_4_b_1_G_8_C_3_D_6_C_3_F_5_C_9_A_3_A_5_E_2_E_0_b	0-14	0-20	BjACBGBGGGGGBBbi	DAGFGBAAEbGCDCFCAAEEbE	0.408
4cag_A		_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_0_-_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_0_A_8_C_4_C_11_E_14_C_8_F_2_A_13_D_6_A_5_A_1_H_8_G_15_D_5_E_14_B_8_E	2-13	0-15	BjACBGBGGGGGBBbi	ACCECFADAAHGDEBEAAEEcbEEGHbBCBCCDDDBCBABCEFABEDbhB	0.568
4oq1_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B	_2_A_0_-_3_A_9_A_5_D_4_H_4_B_3_E_5_H_5_F_10_G_2_C_1_A_2_A_1_B	0-13	13-26	BjACBGBGGGGGBBbi	EeFjbHEIICGGDAAADHBEHFGCAABCHDD	0.648
6xk9_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G	_5_D_0_-_11_B_4_B_1_C_14_E_12_B_10_G_11_E_2_K_18_H_16_E_2_G	0-11	1-12	BjACBGBGGGGGBBbi	GDBBCEBGEKHEG	0.682
7xw6_L		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B	_0_A_3_C_0_-_5_E_11_D_6_D_12_E_2_E_4_b_2_G_4_D_2_D	2-12	0-10	BjACBGBGGGGGBBbi	ACEDDEEbGDD	0.615
6xpx_B		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B_0_-_0_-_8_b	_0_D_0_-_2_B_5_G_3_b_2_E_6_E_6_B_7_E_4_E_4_b_1_F_6_A_3_D_8_D_7_J_4_C_8_B_3_A_5_I_0_b	0-14	0-19	BjACBGBGGGGGBBbi	DBGbEEBEEbFADDJCBAIbFbF	0.417
7ad6_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_0_-_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b_6_i	_43_C_0_-_2_C_2_C_3_C_4_E_4_A_3_I_5_H_3_A_11_B_3_J_3_J_3_J_3_J_10_C_14_F_4_g_15_e_2_j	0-15	5-23	BjACBGBGGGGGBBbi	dgeofCCCCEAIHABJJJJCFgejbmbAkkqmjjBBlklGGBDJIIEBhDEHAFEAeKKFEACDm	0.485
5fks_A		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_1_B_5_c_21_C_2_G_4_C_2_e_3_D_8_E_7_D_6_A_17_G_2_I_4_E_7_A_8_F_6_E_4_C_7_B	0-13	30-47	BjACBGBGGGGGBBbi	DCCDbCcEDDCBCCAEbDCAGFDCFECABBBcCGCeDEDAGIEAFECBCDDCCEEAGGFABCF	0.533
6tav_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_0_-_8_b_0_-_6_i	_10_E_0_-_5_D_5_D_8_E_21_G_6_C_10_I_10_I_2_J_6_I_8_F_4_G_11_A_12_A_1_B_3_I_2_c_7_f_44_g	0-15	29-47	BjACBGBGGGGGBBbi	DCCGBCJIDAGGHFGGBBFBAEbBBBFAFEDDEGCIIJIFGAABIcfgDIGBBEBHABAAHCCBDJHFccnnkkbknkjAAmlmEDDHJCEDBgEEBCC	0.539
7z3q_F		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_2_B	_0_D_0_-_6_D_5_G_15_B_1_B_5_D_8_H_2_C_3_B_1_c_6_G_4_F_8_H_7_D_6_D_7_H_13_A	0-12	0-16	BjACBGBGGGGGBBbi	DDGBBDHCBcGFHDDHA	0.478
1dn0_B		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_12_G_12_G_0_-_2_B_17_B	_0_D_0_-_3_A_5_G_8_E_6_E_5_B_7_E_4_E_4_b_1_F_11_A_3_D_8_E_5_J_4_E_4_A_2_B_3_B	0-13	0-17	BjACBGBGGGGGBBbi	DAGEEBEEbFADEJEABBIFE	0.482
6ck1_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_6_F_0_-_10_A_4_E_2_D_3_G_2_G_13_B_6_C_4_D_7_D_4_E_6_E_3_E_4_F_17_C_2_E_0_b	0-14	17-33	BjACBGBGGGGGBBbi	JEHDbEEDDGFEEdCCFFAEDGGBCDDEEEFCEbEEJ	0.541
7fih_R		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_0_-_17_B_8_b_0_-_6_i	_0_D_0_-_5_A_12_D_6_A_12_C_7_A_12_D_19_E_6_A_12_C_7_A_5_H_8_A_6_B_3_B_13_b_2_B_12_b_6_A_3_f	0-15	0-19	BjACBGBGGGGGBBbi	DADACADEACAHABBbBbAfAkjshtmctsjek	0.471
4wjv_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_8_b_6_i	_4_E_0_-_6_E_6_D_4_C_18_E_2_b_8_D_3_E_4_F_5_E_4_E_4_D_0_b_2_E_6_E_4_c_12_l	0-15	3-19	BjACBGBGGGGGBBbi	EEDEEDCEbDEFEEDbEEclDDGEEDDEEDDEEE	0.486
8deo_B		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_0_-_0_-_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_0_B_2_b_0_D_1_C_10_C_10_E_9_G_11_F_3_f_12_E_7_d_8_H_4_D_4_c_0_B_18_G_4_E_2_E_0_c_7_G_6_B_5_C	0-13	0-21	BjACBGBGGGGGBBbi	BbDCCEGFfEdHDcBGEEcGBCABADDFBCEDBDCBBDJDDJCEE	0.413
8c8l_D		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_0_-_12_G_0_-_0_-_12_G_0_-_12_G_0_-_0_-_2_B_17_B_8_b	_2_B_5_b_2_A_1_C_6_C_12_I_0_d_10_H_1_b_3_H_19_G_3_D_2_f_10_H_7_K_6_b_0_H_2_A_6_I_4_b_1_d_4_A_3_C_5_b	0-14	44-67	BjACBGBGGGGGBBbi	BADCBBFgBfCebCHHbCAACbDCCBAbAcEBBEFCEbCDBccBBbACCIdHbHGDfHKbHAIbdACbCCCBFbCAFAebCFABAAGIBBbbbFbFGCbAFAccAGICAFbAbCAdFFFH	0.409
4n0y_L		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_0_-_0_-_0_-_12_G_12_G_2_B_17_B	_0_A_3_C_5_E_10_E_6_D_12_E_2_E_4_b_1_H_4_D_2_D_8_D_3_d_3_J_4_E_2_B_3_B	2-13	0-16	BjACBGBGGGGGBBbi	ACEEDEEbHDDDdJEBBAHeFF	0.472
7qpt_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_12_G_0_-_12_G_2_B_17_B_0_-_8_b_0_-_6_i	_0_F_0_-_4_B_6_C_3_B_7_C_6_C_7_c_1_H_6_b_4_G_2_G_2_D_2_C_14_G_2_C_2_D_6_F_0_-_7_I_5_j	0-15	1-19	BjACBGBGGGGGBBbi	bFBCBCCcHbGGDCGCDFIjECCCCEHFABbBCHEeD	0.476
8ilq_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_5_C_0_-_2_A_9_E_12_D_5_C_40_B_4_B_24_A_21_E_3_A_8_I_7_H_4_A_10_A_3_H_9_A_10_A_46_o_1_g	0-15	10-28	BjACBGBGGGGGBBbi	AAABBEDGDCCAEDCBBAEAIHAAHAAog	0.497
3e3q_V		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_0_A_4_C_5_B_0_-_2_A_7_E_6_E_5_C_3_E_4_E_4_b_1_G_5_B_3_E	2-13	0-12	BjACBGBGGGGGBBbi	ACBAEECEEbGBE	0.655
3j31_Q		_0_B_2_j_3_A_1_C_0_-_2_B_0_-_7_G_2_B_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B	_0_C_0_-_2_C_4_C_6_I_3_E_14_D_4_F_3_E_9_I_7_D_6_J_4_A_4_G_5_H_2_G_1_F	0-12	0-15	BjACBGBGGGGGBBbi	CCCIEDFEIDJAGHGFN	0.503
6l7i_G		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_6_B_10_b_13_D_5_D_5_D_5_G_6_G_2_F_4_I_7_G_9_F_5_D_5_F_5_E_10_B_2_B	0-13	32-47	BjACBGBGGGGGBBbi	bCGHDdDEFDEFGdEGHFDEFHEEGIEDHIGHBbDDDGGFIGFDFEBBBCA	0.600
3ml0_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_0_-_0_-_12_G_2_B_0_-_17_B_0_-_8_b	_2_G_0_-_7_B_3_B_1_B_5_G_6_B_4_B_1_F_7_F_4_E_4_F_5_j_4_g_6_F_4_C_5_A_10_B_7_A_2_b	0-14	3-21	BjACBGBGGGGGBBbi	DEGGBBBGBBFFEFjgFCABAbBDcdffbjbcimDCEDdBc	0.519
3rgv_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_0_B_0_-_4_D_4_B_2_B_5_F_6_E_5_C_2_C_9_B_8_G_10_E_8_E_7_E_16_A_3_D_0_b	0-14	0-15	BjACBGBGGGGGBBbi	BDBBFECCBGEEEADbH	0.593
7rai_M		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_B_0_-_12_A_0_-_2_B_7_E_6_D_3_A_0_-_9_C_2_E_9_E_6_A_4_A	0-13	0-10	BjACBGBGGGGGBBbi	BABEDACEEAA	0.439
8eh5_L		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_A_3_C_0_-_5_E_8_E_6_E_2_A_7_E_2_E_4_b_2_E_6_A_3_E	2-13	0-11	BjACBGBGGGGGBBbi	ACEEEAEEbEAE	0.567
2r4r_H		_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_0_-_17_B_8_b	_0_A_2_D_5_F_9_E_6_E_6_B_7_E_4_E_8_D_10_D_9_C_10_J_16_B_9_I_10_D_0_b	2-14	0-15	BjACBGBGGGGGBBbi	ADFEEBEEDDCJBIDbC	0.527
3vb0_A		_0_B_0_-_2_j_3_A_0_-_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b	_7_D_4_G_2_k_5_A_2_e_2_G_5_F_6_c_6_A_2_A_4_D_3_e_8_G_2_F_7_C_10_G_2_k_6_E_5_E_5_E_7_b	0-14	4-24	BjACBGBGGGGGBBbi	HgCCDGkAeGFcAADeGFCGkEEEbBC	0.428
1bog_B		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_0_-_12_G_12_G_0_-_2_B_17_B_0_-_0_-_8_b	_0_C_0_-_3_B_5_G_3_b_2_F_3_G_6_B_1_b_3_E_0_b_1_E_4_b_1_E_8_D_8_D_10_J_4_C_8_B_3_B_2_J_9_E_0_b	0-14	0-21	BjACBGBGGGGGBBbi	CBGbFGBbEbEbEDDJCBBJEbE	0.380
6s6z_H		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_0_-_7_G_2_B_0_-_0_-_7_G_0_-_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_5_D_8_k_4_B_1_c_10_C_3_g_7_E_10_g_5_E_7_C_5_C_28_h_2_F_2_E_6_b_0_H_2_G_8_D_10_H_11_I_4_B_6_C	0-13	38-59	BjACBGBGGGGGBBbi	bAAABGbDbBIdEEECIdBEJJGHHAFFCCADjBiDbmDkBcCgEgECChFEbHGDHIBCEEEAEdceHHHGHGGbILebIbIBDAHHIHFF	0.443
6b0n_E		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_0_-_12_G_2_B_17_B_8_b	_0_C_5_D_12_D_5_D_13_E_2_E_9_E_7_D_10_B_3_d_3_J_11_A_5_H_1_e	3-14	0-13	BjACBGBGGGGGBBbi	CDDDEEEDBdJAHe	0.457
3qpx_L		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_D_4_F_7_E_6_D_3_A_7_E_2_E_4_b_2_E_5_A_3_E_6_D_3_c_3_J_4_E_2_A_4_D_9_I_0_c	0-14	0-19	BjACBGBGGGGGBBbi	CDFEDAEEbEAEDcJEADIcFE	0.374
4q29_A		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_0_A_2_D_0_-_11_F_3_A_8_G_1_E_2_E_3_C_5_D_5_G_0_-_0_-_0_-_1_k	2-15	0-10	BjACBGBGGGGGBBbi	ADFAGEECDGk	0.479
3d6e_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_B_0_-_9_B_5_B_5_C_12_G_0_-_2_G_7_F_10_F_5_G_7_C_9_G_2_E_2_E	0-13	0-12	BjACBGBGGGGGBBbi	BBBCGGFFGCGEEGI	0.684
3sot_F		_0_B_2_j_0_-_3_A_0_-_0_-_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_0_-_17_B	_4_A_1_j_5_b_1_A_2_b_0_A_3_D_7_F_3_G_4_C_4_D_2_F_3_E_4_D_11_b_0_E_4_A_11_A_6_C	0-13	3-21	BjACBGBGGGGGBBbi	EbDAjbAbADFGCDFEDbEAACFEEE	0.504
6zg6_H		_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_0_-_12_G_2_B_0_-_17_B_0_-_8_b	_0_C_7_E_3_F_4_G_5_E_2_b_2_E_3_G_2_G_6_E_8_D_3_D_10_C_5_E_6_E_4_F_0_b	2-14	0-16	BjACBGBGGGGGBBbi	CEFGEbEGGEDDCEEFbGEFECCCEC	0.502
5es4_G		_0_B_0_-_0_-_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G_0_-_0_-_12_G_0_-_2_B_0_-_17_B_8_b	_2_B_5_H_10_H_6_b_4_A_6_E_15_E_6_B_4_I_8_F_2_B_16_F_5_G_9_I_8_H_12_J_1_D_17_J_7_J_2_A_1_F_8_E_6_e	0-14	46-68	BjACBGBGGGGGBBbi	CDDBBCBDJIBBBcBBbFGbHHCDBDBEDDcHABcEEFAGcJcGAABHHbAEEBIFBFGIHJDJJAFEeAHJcHBbF	0.394
4aqb_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_0_-_0_-_12_G_2_B_17_B	_5_A_0_-_6_A_11_D_12_F_5_E_4_A_11_E_2_E_8_A_4_F_10_F_2_A_8_C_5_A_3_E_3_D_2_B	0-13	14-30	BjACBGBGGGGGBBbi	BDGJbDDAGIbbDDAADFEAEEAFFACAEDBEC	0.516
7qpu_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b_0_-_6_i	_0_E_0_-_3_B_7_C_5_E_6_A_4_G_6_b_4_F_4_F_2_F_5_F_14_F_4_E_2_F_6_A_3_F_0_-_7_I_5_i	0-15	0-17	BjACBGBGGGGGBBbi	EBCEAGbFFFFFEFAFIiECCCCDFEEbBCHEdD	0.484
5m11_A		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_0_-_2_B_0_-_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_0_C_0_-_5_E_3_E_2_C_9_B_1_b_6_F_4_E_4_C_5_C_1_c_8_F_2_E_2_E_4_E_5_E_4_E_2_E_7_b	0-14	0-18	BjACBGBGGGGGBBbi	CEECBbFECCcFEEEEEEbBbFEEDCCDDBDDADDDDgEKEHDDDFFDDEDDbBAAFECDGEEBCDEBGG	0.467
6qfe_A		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_2_C_9_C_13_B_1_E_13_D_24_E_15_F_2_f_8_C_15_C_2_G_11_D_0_-_0_-_0_k	2-15	3-15	BjACBGBGGGGGBBbi	AEICCBEDEFfCCGDk	0.547
7ceb_A		_0_B_2_j_3_A_1_C_2_B_0_-_0_-_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_3_C_0_-_7_B_3_D_36_B_6_D_2_c_1_E_4_A_12_E_7_F_2_b_1_G_5_H_10_D_8_E_12_D_12_C	0-13	8-24	BjACBGBGGGGGBBbi	CFGFAAFDCBDBDcEAEFbGHDEDCEEGJHEDIAJFACGEAH	0.526
8jyo_A		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_12_G_0_-_0_-_12_G_0_-_0_-_12_G_2_B_17_B_8_b_0_-_0_-_6_i	_0_A_0_-_5_A_10_G_5_D_7_D_6_F_8_E_4_C_29_C_7_H_2_H_13_G_7_F_7_D_1_H_5_E_4_h_7_H_7_A_25_D_9_b_5_C_14_H_1_e	0-15	0-23	BjACBGBGGGGGBBbi	AAGDDFECCHHGFDHEhHADbCHedFBAABHDHADGDBCAAEEBJCdfpiCmbidoodxIJBACCCAbAA	0.400
6zce_h		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_9_C_0_-_6_C_5_C_5_D_6_E_11_E_4_D_4_E_6_E_5_E_3_E_4_F_6_C_5_D	0-13	9-22	BjACBGBGGGGGBBbi	HEEHHEEDECCCDEEDEEEEFCDEFEEG	0.600
4idj_H		_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_0_-_0_-_12_G_12_G_2_B_17_B_0_-_0_-_8_b	_0_B_11_F_9_E_5_G_4_C_1_b_3_E_4_E_4_b_1_G_12_C_3_B_10_D_10_J_4_C_8_B_10_I_8_F_0_b	2-14	0-18	BjACBGBGGGGGBBbi	BFEGCbEEbGCBDJCBIFbG	0.436
3erb_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_2_C_0_-_5_A_4_C_1_B_7_C_4_B_3_E_4_B_3_C_11_B_14_C_8_E_4_B_3_C_11_B_1_d	0-14	3-18	BjACBGBGGGGGBBbi	CDCCACBCBEBCBCEBCBd	0.554
6r5z_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B	_0_B_0_-_5_D_5_D_4_D_6_E_5_E_3_E_4_E_5_E_5_E_3_E_4_E	0-12	0-11	BjACBGBGGGGGBBbi	BDDDEEEEEEEE	0.609
6jzj_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_2_B_3_c_5_A_3_D_2_D_0_-_8_B_8_A_2_I_9_J_1_A_1_B_12_B_14_B_1_b	0-14	6-19	BjACBGBGGGGGBBbi	FGHFHdBcADDBAIJABBBbBDAAAIhFBbAHbH	0.544
